질문 ID,질문 문구,관심사,레벨,상태,현재 Revision,노출,답변,교체,미응답,답변율(%),교체율(%),이전 Revision 노출,이전 Revision 답변,예측 답변율(문구 모델),추정 답변율(축소),추정 하한(10%),추정 상한(90%),P(평균 미만),P(평균 미만|데이터만),위험 특성,분류,양자택일형,경험 전제형(~있다면/~적 있),가정·상상형(~한다면),정의·개념형,복문(쉼표·두 질문),오늘 기반,최근·이번 주 회상,요즘(현재 상태),과거 기억 회상,미래·상상,부정·무거운 감정,연애 대상 전제,특정 활동 전제,자기 수용·칭찬,문구 길이,수정 방향(패턴),원인 진단,수정 원칙,수정안 1 (권장),수정안 2 (대안)
333,"오늘 기억에 남는 소리나 향기가 있다면, 어떤 건가요?",취향,2,ACTIVE,1,12,1,8,3,8.3,66.7,0,0,0.24470212089234164,0.20355225096362167,0.13188982830538523,0.28076998744270426,0.999834352100377,0.9619509211427232,"오늘 기반, 경험 전제형(~있다면/~적 있)",A. 교체·재작성 우선,False,True,False,False,True,True,False,False,True,False,False,False,False,False,30,"'오늘'→'요즘/평소'로 시점 중립화, 또는 저녁 시간대에만 노출 / '~한 적이 있다면'→'~하는 편인가요/주로 무엇인가요' 성향형으로 전환하거나 '없다면 ~' 대안 제시",'오늘' 재료가 부족한 시점에 노출 + 감각 기억을 요구,시점 중립화 + 최애형 전환,가장 좋아하는 소리나 향기는 무엇인가요?,맡으면 기분이 좋아지는 향기가 있나요? 없다면 좋아하는 소리를 알려주세요.
528,오늘 누군가와 진심이 닿는 대화를 나눴나요?,관계,2,ACTIVE,1,3,0,2,1,0.0,66.7,0,0,0.19829537592324364,0.18266428454086397,0.10729546088223582,0.265432943364636,0.9997978553976944,0.7485889851126462,오늘 기반,A. 교체·재작성 우선,False,False,False,False,False,True,False,False,False,False,False,False,False,False,24,"'오늘'→'요즘/평소'로 시점 중립화, 또는 저녁 시간대에만 노출",오늘 대화가 없었다면 답할 수 없음 + 예/아니오로 끝나는 닫힌 질문,시점 중립화 + 열린 질문,진심이 닿았다고 느끼는 대화는 어떤 대화인가요?,최근 대화 중 마음에 오래 남은 한마디는 무엇인가요?
347,"오늘 속으로 나를 가만히 안아준 적이 있다면, 어떤 순간이었나요?",감정,2,ACTIVE,1,5,0,5,0,0.0,100.0,0,0,0.22525704815304684,0.19714059838414322,0.12096266343967833,0.280018394185301,0.9996786771397661,0.8543177597113494,"오늘 기반, 경험 전제형(~있다면/~적 있)",A. 교체·재작성 우선,False,True,False,False,True,True,False,False,False,False,False,False,False,True,36,"'오늘'→'요즘/평소'로 시점 중립화, 또는 저녁 시간대에만 노출 / '~한 적이 있다면'→'~하는 편인가요/주로 무엇인가요' 성향형으로 전환하거나 '없다면 ~' 대안 제시",오늘 + 경험 전제 + 추상적 표현('속으로 안아준')의 3중 장벽,구체 행동으로 바꾸고 전제 제거,힘든 날 나를 달래주는 나만의 방법은 무엇인가요?,스스로에게 가장 자주 해주는 위로의 말은 무엇인가요?
338,오늘 새롭게 알게 된 것 중 더 궁금해진 건 무엇이었나요?,취향,2,ACTIVE,1,10,1,8,1,10.0,80.0,0,0,0.28677415027336,0.2453220958370414,0.1663516856593813,0.32928548340871766,0.9980451180290663,0.928327196944678,오늘 기반,A. 교체·재작성 우선,False,False,False,False,False,True,False,False,False,False,False,False,False,False,32,"'오늘'→'요즘/평소'로 시점 중립화, 또는 저녁 시간대에만 노출",'새로 알게 된 것'이 없을 가능성이 높음 + 이중 조건(알게 된 것 중 더 궁금해진 것),시점 중립화 + 조건 하나로 축소 (시점 없는 성향형 우선),더 깊이 알고 싶은 분야나 주제는 무엇인가요?,요즘 가장 궁금한 건 무엇인가요?
353,오늘 내 자신에게 칭찬 한 마디를 남긴다면 무엇일까요?,감정,2,ACTIVE,1,5,1,2,2,20.0,40.0,0,0,0.25849296289060014,0.2511919063135358,0.16692158631766246,0.3409701090258414,0.9958973047815477,0.7214643318743622,오늘 기반,A. 교체·재작성 우선,False,False,True,False,False,True,False,False,False,False,False,False,False,True,30,"'오늘'→'요즘/평소'로 시점 중립화, 또는 저녁 시간대에만 노출",하루가 끝나지 않은 시점에는 칭찬할 거리가 없음,시점 중립화 (시점 없는 성향형 우선),내가 나에게 가장 듣고 싶은 칭찬은 무엇인가요?,요즘의 나에게 칭찬 한 마디를 해준다면 무엇일까요?
335,오늘 쓴 돈이나 시간 중 가심비 최고였던 건 무엇이었나요?,취향,2,ACTIVE,1,8,1,6,1,12.5,75.0,0,0,0.2905341594159659,0.25977850173742495,0.17728769378231807,0.34720518535511763,0.9955287803377778,0.8712641548483507,오늘 기반,A. 교체·재작성 우선,False,False,False,False,False,True,False,False,True,False,False,False,False,False,32,"'오늘'→'요즘/평소'로 시점 중립화, 또는 저녁 시간대에만 노출",오늘 소비가 없으면 답 불가 + '가심비' 개념 해석 부담,범위 확대 + 쉬운 표현,돈이 아깝지 않았던 소비는 무엇인가요?,적은 돈으로 큰 만족을 얻었던 것은 무엇인가요?
623,돌아보니 칭찬해주고 싶은 오늘의 선택은 무엇인가요?,가치관,2,ACTIVE,1,5,1,3,1,20.0,60.0,0,0,0.2641767023949801,0.25616620485886593,0.17125334019915833,0.34647708145397166,0.9949791511178324,0.7214643318743622,오늘 기반,A. 교체·재작성 우선,False,False,False,False,False,True,False,False,False,False,False,False,False,True,28,"'오늘'→'요즘/평소'로 시점 중립화, 또는 저녁 시간대에만 노출",오늘 + '선택'이라는 추상 단위를 떠올리기 어려움,최근 범위로 넓히고 구체화 (시점 없는 성향형 우선),망설이다가 해서 다행이었던 일은 무엇인가요?,최근 내가 내린 선택 중 잘했다 싶은 건 무엇인가요?
362,"오늘 감정의 온도가 급격히 변한 시점이 있다면, 어떤 때였나요?",감정,2,ACTIVE,1,4,1,3,0,25.0,75.0,0,0,0.25917730177341675,0.2582374348005364,0.17203526740520253,0.34993369965369087,0.9940440692576085,0.6515136354083412,"오늘 기반, 경험 전제형(~있다면/~적 있)",A. 교체·재작성 우선,False,True,False,False,True,True,False,False,False,False,False,False,False,False,35,"'오늘'→'요즘/평소'로 시점 중립화, 또는 저녁 시간대에만 노출 / '~한 적이 있다면'→'~하는 편인가요/주로 무엇인가요' 성향형으로 전환하거나 '없다면 ~' 대안 제시",오늘 + 경험 전제 + 추상 은유('감정의 온도'),성향형으로 전환,기분이 갑자기 바뀌는 순간은 주로 언제인가요?,내 기분을 한순간에 바꿔놓는 것은 무엇인가요?
325,좋아하는 시의 제목이나 글귀가 있다면 어떤 건가요?,취향,2,ACTIVE,1,6,1,4,1,16.7,66.7,0,0,0.30953403158121795,0.28865608352116107,0.20095890206364941,0.38091536206220444,0.9843871686706495,0.7812276438170815,"경험 전제형(~있다면/~적 있), 특정 활동 전제",A. 교체·재작성 우선,False,True,False,False,False,False,False,False,False,False,False,False,True,False,28,'~한 적이 있다면'→'~하는 편인가요/주로 무엇인가요' 성향형으로 전환하거나 '없다면 ~' 대안 제시 / 대상 확장(예: 책→책·영화·노래 무엇이든) 또는 활동 비경험자용 대안 제시,시 읽는 습관 전제 (특정 활동),대상 확장,마음에 오래 남은 문장은 무엇인가요? 책·노래·대사 무엇이든 좋아요.,좋아하는 노래 가사 한 줄은 무엇인가요?
536,"이번 주, 소중한 사람과 함께한 기억을 한 줄로 적어볼까요?",관계,2,ACTIVE,1,3,0,3,0,0.0,100.0,0,0,0.3079064627739006,0.28363502409594016,0.19326648595131588,0.37905540035417884,0.9839532200231692,0.7485889851126462,최근·이번 주 회상,A. 교체·재작성 우선,False,False,False,False,True,False,True,False,True,False,False,False,False,False,33,기간 제한 제거('최근'→'지금까지/평소'),'이번 주'로 기간이 좁음 + 특정 인물·만남 전제 + 청유형이라 질문처럼 읽히지 않음,기간 제거 + 인물 전제 완화,소중한 사람과 함께할 때 가장 좋아하는 순간은 언제인가요?,소중한 사람과 꼭 다시 하고 싶은 일은 무엇인가요?
